1531,4,4
1535,3,3
1536,1,1
1545,1,1
1546,4,1
1547,3,3
1561,1,1
1565,1,1
1567,4,4
1569,4,4
1575,4,1
1579,3,3
1580,1,1
1589,1,1
1590,1,1
1591,3,3
1605,1,1
1609,1,1
1611,4,4
1613,4,4
1619,4,1
1623,3,3
1624,1,1
1630,4,4
1636,4,4
1640,3,3
1641,1,1
1650,1,1
1651,1,1
1652,3,3
1666,1,1
1670,1,1
1672,4,4
1677,1,1
1678,1,1
1679,3,1
1693,1,1
1697,1,1
1699,4,4
1701,4,4
1707,4,4
1711,3,3
1712,1,1
1721,1,1
1722,4,1
1723,3,3
1737,1,1
1741,1,1
1743,4,4
1745,4,4
1751,4,1
1755,3,3
1756,1,1
1762,4,4
1768,4,4
1772,3,3
1773,1,1
1779,4,4
1785,4,1
1789,3,3
1790,1,1
1799,1,1
1800,1,1
1801,3,3
1815,1,1
1819,1,1
1821,4,4
1826,1,1
1827,1,1
1828,3,3
1842,1,1
1846,1,1
1848,4,4
1850,4,4
1856,4,4
1860,3,3
1861,1,1
1870,1,1
1871,4,1
1872,3,3
1886,1,1
1890,1,1
1892,4,4
1897,1,1
1898,4,1
1899,3,3
1913,1,1
1917,1,1
1919,4,4
1924,1,1
1925,1,1
1926,3,3
1940,1,1
1944,1,1
1946,4,4
1951,1,1
1952,1,1
1953,3,3
1967,1,1
1971,1,1
1973,4,4
1978,4,1
1979,1,1
1980,3,3
1994,1,1
1998,1,1
2000,4,4
2005,4,1
2006,4,1
2007,3,3
2021,1,1
2025,1,1
2027,4,4
2032,1,1
2033,1,1
2034,3,3
2048,1,1
2052,3,3
2054,4,4
2059,1,1
2060,1,1
2061,3,3
2075,3,3
2079,3,3
2081,4,4
2083,4,4
2089,4,4
2093,3,3
2094,1,1
2100,4,4
2106,4,4
2110,3,3
2111,1,1
2120,1,1
2121,4,1
2122,4,3
2136,1,1
2140,1,1
2142,4,4
2147,1,1
2148,1,1
2149,3,3
2163,1,1
2167,3,3
2169,4,4
2174,1,1
2175,4,1
2176,4,1
2190,1,1
2194,1,1
2196,4,4
2201,1,1
2202,1,1
2203,3,3
2217,1,1
2221,1,1
2223,4,4
2228,4,1
2229,1,1
2230,3,3
2244,1,1
2248,3,3
2250,4,4
2252,4,4
2258,1,4
2262,3,3
2263,3,3
2267,3,3
2272,4,1
2273,1,1
2274,3,3
2288,1,1
2292,1,1
2294,4,4
2296,4,4
2302,3,4
2306,3,3
2307,3,3
