5.1877e+05,1.3051e+07,1.9482e+05,1.1344e+07,1.9509e+05,1.1905e+07,1.846e+05,1.1881e+07,2.0131e+05,1.1875e+07
9.2901e+05,2.9704e+07,1.7445e+05,1.9348e+07,1.725e+05,2.22e+07,1.7273e+05,2.458e+07,2.1085e+05,2.3343e+07
1.1679e+06,3.2398e+07,1.1679e+06,2.2802e+07,1.0011e+06,2.4488e+07,3.244e+05,2.7786e+07,4.8826e+05,3.0462e+07
1.652e+05,7.6707e+06,51788,6.8751e+06,12244,6.9164e+06,12710,7.2093e+06,35027,7.0243e+06
3.2945e+05,1.0081e+07,2.0599e+05,9.0715e+06,2.0617e+05,9.4285e+06,1.1928e+05,9.4147e+06,2.2074e+05,9.2805e+06
2.7953e+05,1.2474e+07,96246,8.5344e+06,93141,8.7859e+06,68592,8.8003e+06,89284,8.9011e+06
43860,5.3631e+06,34318,5.414e+06,8277,5.0133e+06,2252,5.4682e+06,2499,4.96e+06
1.6342e+06,4.0532e+07,8.6823e+05,3.1793e+07,11761,2.996e+07,17454,3.4815e+07,3.3312e+05,3.2867e+07
256,5.1928e+06,247,5.2484e+06,264,5.3117e+06,275,5.2657e+06,259,5.3846e+06
1.1189e+06,2.4124e+07,1.1189e+06,1.9797e+07,1.1195e+06,1.9031e+07,3.6891e+05,2.176e+07,4.1399e+05,2.1086e+07
6.2232e+05,3.8204e+07,5.8688e+05,3.7188e+07,4.636e+05,3.7479e+07,2.888e+05,3.8046e+07,3.5213e+05,3.6836e+07
98244,6.3294e+06,70680,6.1636e+06,70741,5.9351e+06,1.4427e+05,6.4892e+06,37812,6.0683e+06
9.9331e+05,2.303e+07,7.5598e+05,2.1036e+07,7.5645e+05,2.1056e+07,1.522e+06,2.4363e+07,6.4834e+05,2.0997e+07
1.7888e+06,3.3351e+07,5.0325e+05,2.7535e+07,2.9112e+05,2.9582e+07,2.9265e+05,2.988e+07,5.1633e+05,2.8494e+07
39660,5.343e+06,31036,5.7935e+06,418,5.3722e+06,469,5.0901e+06,745,5.1663e+06
73124,5.805e+06,16183,5.554e+06,4348,5.6747e+06,3523,5.6415e+06,13439,5.3908e+06
2.6583e+05,8.9563e+06,1.7453e+05,8.381e+06,1.7468e+05,8.6206e+06,4.0709e+05,9.1983e+06,1.2462e+05,8.2379e+06
5.0766e+05,1.2991e+07,4.4423e+05,1.1843e+07,4.4449e+05,1.2467e+07,7.7750e+05,1.3591e+07,4.6894e+05,1.1787e+07
1.9036e+05,7.721e+06,59653,7.456e+06,56555,7.3967e+06,28831,7.3642e+06,55451,7.5082e+06
4.7302e+05,1.2151e+07,15014,1.0378e+07,237,1.0498e+07,262,1.0686e+07,4862,1.0777e+07
3.3358e+05,1.0243e+07,1.3566e+05,8.8629e+06,59882,9.3121e+06,50638,9.2653e+06,1.0069e+05,9.1295e+06
1.1679e+06,3.2398e+07,1.1679e+06,2.2802e+07,1.0011e+06,2.4488e+07,3.244e+05,2.7786e+07,4.8826e+05,3.0462e+07
4.7271e+05,1.2848e+07,1.9218e+05,1.1261e+07,1.9242e+05,1.1653e+07,2.2384e+05,1.1718e+07,2.1243e+05,1.1647e+07
4.116e+05,1.1297e+07,13094,9.6557e+06,237,9.7417e+06,262,9.9259e+06,4262,9.8627e+06
2.3698e+06,4.2763e+07,1.4812e+06,3.6739e+07,1.4824e+06,3.7736e+07,3.8192e+06,4.619e+07,2.2499e+05,3.5688e+07
2.7953e+05,9.1434e+06,96246,8.6168e+06,78789,8.8628e+06,37433,9.0547e+06,83063,8.5666e+06
1.6565e+05,7.5129e+06,1.1913e+05,6.9092e+06,1.1924e+05,7.1422e+06,2.4848e+05,7.575e+06,66809,6.8691e+06
1.9434e+05,7.9919e+06,73098,7.0838e+06,73209,7.3716e+06,72928,7.3114e+06,75507,7.4082e+06
5.4396e+05,1.4125e+07,5.1025e+05,1.3235e+07,5.032e+05,1.3604e+07,2.7635e+05,1.3599e+07,4.3241e+05,1.3264e+07
5.0391e+07,8.7065e+08,1.2598e+07,6.301e+08,1.1464e+07,7.407e+08,5.5108e+06,7.8763e+08,5.9344e+06,6.6273e+08
5.0462e+05,1.3133e+07,1.896e+05,1.1643e+07,1.8986e+05,1.2027e+07,1.7986e+05,1.2412e+07,1.9651e+05,1.1834e+07
39660,5.343e+06,31036,5.7935e+06,418,5.3722e+06,469,5.0901e+06,745,5.1663e+06
1.0937e+06,2.2147e+07,5.1276e+05,1.9348e+07,3.0051e+05,2.0259e+07,2.1468e+05,2.0072e+07,3.2747e+05,1.9183e+07
1.2524e+05,6.7516e+06,11958,6.2954e+06,244,6.3121e+06,272,6.0626e+06,1519,6.173e+06
5.6426e+05,1.3785e+07,3.5275e+05,1.2369e+07,3.5304e+05,1.2777e+07,2.9272e+05,1.2844e+07,3.7704e+05,1.2492e+07
