8.2973e+05,2.8798e+07,83214,2.2251e+07,1.6019e+05,3.5795e+07,2.0138e+05,2.7068e+07
6335,1.1648e+07,3206,1.1568e+07,3447,1.1584e+07,3810,1.1696e+07
29537,5.0355e+06,10091,4.9116e+06,6345,5.237e+06,13927,4.8525e+06
2.4023e+05,6.0387e+06,43999,5.9392e+06,1.6808e+05,6.9748e+06,1.6103e+05,5.9127e+06
2.2235e+07,1.3312e+08,3.3853e+06,1.0558e+08,1.2746e+07,2.1368e+08,1.4896e+07,1.1879e+08
3.2868e+06,1.9374e+07,479,1.5939e+07,18889,2.9892e+07,2.357e+06,1.8478e+07
1.5041e+06,1.4216e+07,49563,1.4435e+07,9.967e+05,2.1634e+07,1.1885e+06,1.4901e+07
4.8168e+05,8.4413e+06,60752,7.8023e+06,1.1474e+05,1.1678e+07,2.4332e+05,8.0158e+06
1.2333e+06,1.3598e+07,5130,1.225e+07,55163,2.1096e+07,6.4238e+05,1.3356e+07
4.9775e+06,1.8899e+07,3.8696e+06,1.9801e+07,1.218e+06,2.8472e+07,4.2194e+06,1.79e+07
2.3018e+05,5.3853e+06,2.419e+05,5.2564e+06,1.0899e+05,5.6882e+06,1.9984e+05,5.3066e+06
1.2223e+06,1.4036e+07,852,1.2285e+07,17237,2.1189e+07,6.1814e+05,1.3439e+07
6.9824e+06,3.0083e+07,2.4074e+05,2.4495e+07,4.2241e+06,4.1936e+07,5.7868e+06,2.9384e+07
2.0835e+06,2.0085e+07,2.5936e+05,1.8423e+07,7.9526e+05,3.5455e+07,1.0521e+06,1.9044e+07
83692,5.8267e+06,7748,5.7482e+06,43788,5.9475e+06,72143,5.8621e+06
2026,6.7293e+06,1151,6.6066e+06,1231,6.6969e+06,1298,6.7636e+06
2.5875e+07,9.2417e+07,2.898e+07,1.0523e+08,1.7436e+07,1.5691e+08,2.0995e+07,8.6125e+07
1.2926e+05,5.2003e+06,1.3629e+05,5.1446e+06,61668,5.3607e+06,1.1225e+05,5.0379e+06
2.6768e+07,8.4502e+07,2.9309e+07,1.002e+08,2.3043e+07,1.0614e+08,2.269e+07,9.862e+07
1.68e+05,5.1768e+06,1.798e+05,5.8942e+06,1.0256e+05,5.7011e+06,1.3937e+05,5.1242e+06
1.3141e+07,7.9193e+07,4.9792e+05,6.3812e+07,4.4415e+06,1.1522e+08,9.6516e+06,7.1867e+07
24275,1.1151e+07,10282,1.0789e+07,15347,1.1129e+07,17361,1.0849e+07
